"","logFC","logCPM","LR","PValue","FDR"
"CYP27A1",-0.909055644596849,5.9072352518605,47.6622256795329,5.06354766935767e-12,1.13394940764489e-09
"AURKA",0.519371531871622,1.82228032986536,47.4701841108312,5.58469434020259e-12,1.23328666679474e-09
"TMEM132E",0.87183581401065,-0.972723861565279,47.3557194341985,5.92051177690509e-12,1.28953612675056e-09
"NCAPG",0.767735677961609,1.37194723206748,47.1710791069508,6.50532657208027e-12,1.39776611481184e-09
"KIF20A",0.809368417531236,1.88406117108633,46.9777036883619,7.1798877343024e-12,1.52213619967211e-09
"RAD54L",0.716226222277332,0.352754330836425,46.9512002778444,7.27764056586159e-12,1.52255901312104e-09
"PIK3C2G",-1.0930523006878,-0.908440868486996,46.9053707047324,7.44982771537021e-12,1.5267715666158e-09
"TPX2",0.715359360280351,3.07310158735986,46.8948773262211,7.48982277962469e-12,1.5267715666158e-09
"HIF3A",-0.826482626045312,2.26956203946277,46.8560265408545,7.63978063045785e-12,1.53762673448455e-09
"ORC6",0.592527029282856,0.774404673251157,46.777478099326,7.95220689924554e-12,1.58050112122505e-09
"MT1L",-1.25208535896164,3.1391222929266,46.7496440077786,8.06595881750723e-12,1.58331784195512e-09
"ESPL1",0.743548672241213,1.15748692158209,46.4557395351043,9.37114608574155e-12,1.81708808247915e-09
"CENPU",0.649874820358222,2.62242125139571,46.3297758349194,9.9933690301059e-12,1.896379950261e-09
"THBS2",0.911832164825942,5.13050633006378,46.3248329681133,1.00186110579826e-11,1.896379950261e-09
"IFI27",0.933900704447103,4.71259347337053,46.2170636190139,1.05851075858026e-11,1.96551285067827e-09
"BGN",0.695925700562848,8.03159002452885,46.2029426009042,1.06616733003008e-11,1.96551285067827e-09
"CDCA5",0.611602885278297,2.31224312972114,46.1859229074143,1.07546929565415e-11,1.96551285067827e-09
"MYOCD",-0.734302263766735,4.2344682421319,45.9866350015339,1.19062476536693e-11,2.15124247378797e-09
"TICRR",0.628436677774064,0.675019543524703,45.9437163102832,1.21699656138926e-11,2.17418486809992e-09
"FAM107A",-0.66537546348072,5.45020840102493,45.8649569855625,1.2669211465657e-11,2.23822735893274e-09
"CRIP3",-0.828921127522057,0.632716404847365,45.5764026188469,1.46799496576732e-11,2.56495823689016e-09
"DIRAS2",1.42100383497963,0.527894773275542,45.4468422816248,1.56838188168805e-11,2.71057303465652e-09
"PGM5",-0.738268212039242,7.11850838298776,45.3100189973927,1.68186542072325e-11,2.87201111125355e-09
"COL1A1",0.773257298534129,8.6890967825252,45.2914141844708,1.69791851860273e-11,2.87201111125355e-09
"GDF10",-1.20995039772867,-0.39706758137489,45.2150601387607,1.76542248281987e-11,2.95475973440378e-09
"EXO1",0.733969397895641,0.428873215968702,45.1927850588152,1.78561714304936e-11,2.95742839317551e-09
"CTHRC1",0.959871594956843,2.28890899008187,45.0543991206127,1.91636279994049e-11,3.13765062961649e-09
"CDK1",0.713952294272694,2.82956213128487,45.0365620541115,1.93389787234224e-11,3.13765062961649e-09
"BIRC5",0.762631878207383,2.68756298296962,45.0093669929047,1.9609420659397e-11,3.14939180287285e-09
"MTFR2",0.708843180821761,-0.945082833907309,44.9585771443874,2.01246788061646e-11,3.19982393018017e-09
"MIR4435.2HG",0.593776593240707,1.84200833830662,44.8953811104013,2.07847573520255e-11,3.27205586036837e-09
"KIFC1",0.641960078733803,2.46743563976873,44.8066788218276,2.17479618537929e-11,3.39012346544419e-09
"CCBE1",-0.918753432191017,1.31341257080891,44.7338713218667,2.25718621943903e-11,3.48439426107579e-09
"C8orf88",-0.609908270947525,0.907644606197492,44.6711969995206,2.33060721618903e-11,3.56313987859669e-09
"IQGAP3",0.770169237436425,1.85631687121413,44.6167770482949,2.39629462614403e-11,3.60538367706585e-09
"P2RX2",-0.906707714764314,1.03737243429024,44.6108261386934,2.4035891180439e-11,3.60538367706585e-09
