"gene"	"B.cells.memory"	"B.cells.naive"	"Dendritic.cells.activated"	"Dendritic.cells.resting"	"Endothelium"	"Eosinophils"	"Epithelial"	"Fibroblast"	"Macrophages.M0"	"Macrophages.M1"	"Macrophages.M2"	"Mast.cells.activated"	"Mast.cells.resting"	"Monocytes"	"Neutrophils"	"NK.cells.activated"	"NK.cells.resting"	"Plasma.cells"	"T.cells.CD4.memory.activated"	"T.cells.CD4.memory.resting"	"T.cells.CD4.naive"	"T.cells.CD8"	"T.cells.follicular.helper"	"T.cells.gamma.delta"	"T.cells.regulatory..Tregs."
"RSAD2"	162.698452465851	166.04508264509	6465.51814419337	82.5090682247907	11.4950010625003	1117.42373106364	30.9378869892931	9.35809106342432	2845.43133702798	12555.4110093319	100.893561643754	256.276502066177	344.632840619043	262.939178144072	517.877529130927	599.259775979458	248.137962603383	166.744569582476	115.278212047534	173.316655655958	125.827534078043	125.319187766471	81.1142596727693	301.437827747087	692.84113830006
"RYR1"	88.7358779045345	83.7172890649218	63.8452642631606	87.6013659378151	12.038337982815	55.3667551928412	8.00936408521114	8.9399006305357	95.9440713481795	53.7600983725255	64.6121338023756	37.8838457393957	9.27997531995685	92.0283844836182	155.164933545169	51.8148984410558	25.9429999215453	41.112254205811	119.307223148508	101.315702664823	105.59158752279	99.2098153096391	141.015570739941	109.494087870259	1012.94490973004
"S100A12"	158.653693600298	147.175228522943	139.317472426756	97.5770229819449	3.84024496011979	299.995559229028	4.5064505851352	3.76780167332234	153.046250405091	208.410678445429	80.9411696527181	973.147238470361	1095.27573389146	13570.8205743286	20153.3180532807	173.654593371609	984.841315840055	160.066612853345	56.1564341868856	56.4099213979454	109.978978133917	74.3163242274269	62.1393486498579	4430.27094754492	66.0451098364239
"S1PR5"	2.60713263646782	2.66540235104475	5.13934811057648	3.73479075659248	49.2920836963087	5.67866084584115	43.7712992624311	76.2475571616286	4.87383891140083	3.86508208065109	3.03625405792055	5.00845333857339	5.19283889631557	3.6175620997783	6.4361137694101	132.420757852097	517.389278230348	3.74080036581553	3.26405157178543	3.29930487027898	7.48446073826574	27.4204609358113	4.73867707118447	9.25912339075963	2.63691990825988
"SAMSN1"	305.031668754697	152.28376372572	5383.50894917793	2238.09317844381	67.6731201774915	24659.0736598237	2.1610521309012	0.930737681701604	3886.0907986672	7730.68958128476	2670.89840820738	4479.31558121031	6451.53285470644	1296.89414774976	1738.89802503789	2583.85031394916	1133.98130973062	396.52278657802	2778.76278074942	1504.37058678893	516.058773776113	728.546586793044	878.548655964525	1372.09009067268	1590.92297893057
"SCN9A"	2.80207681403251	2.42770895907047	11.4074040261061	246.803831886433	1.8680173756055	11.9554850442547	2.06011786712622	52.6590146274295	23.6250481007492	82.2558456569239	52.8346214929896	77.0474566127853	42.5550203800854	2.95252294167329	11.1033984747434	5.79204598824166	6.11703755029731	3.96771517832278	3.14060810241081	3.26298544595997	7.25095303747039	2.64098845173338	9.84301946613512	39.5512197926132	23.1057686448749
"SEC31B"	32.210475473406	40.2918109732217	32.1395623887706	25.1507282115142	143.441109663197	134.645168414073	139.652682424324	179.016229035179	48.3561621545538	40.3525924050748	428.941222722304	183.892116004089	162.06838807918	123.02904321621	28.9473691191749	19.9191416347186	203.266990319954	79.8830968639629	14.1712030898545	46.3560565093766	397.169643183633	353.921713467011	263.673017593725	40.4050072383586	839.192674616158
"SELL"	8886.32135844969	14132.8012107465	102.201870223677	86.4675695480519	26.367218118528	3915.80537251577	47.3878298179187	9.63458498169017	69.8275312016042	185.491058965374	239.682347622048	236.934917939465	297.670716424264	8519.55758969833	33307.8814268348	1419.00519669647	5588.55231252091	270.164951209112	2193.16030940366	7159.59032180606	11745.2736882948	7791.65737676878	4560.46529649344	16556.8313616456	4997.12020432517
"SEPT8"	11.7761514461697	13.2983987013807	22.4536208471007	23.2295535892	505.904133644145	16.4824785415665	264.565605485035	360.745346446265	54.698041006396	139.990983079882	48.0901738951003	219.025863738697	372.283540443992	9.44778757421598	17.2950451441249	44.9848637857191	16.2215993970098	23.3668390446745	223.741161336722	25.1190551240102	20.6182829087759	20.4317978312808	68.2307076672648	20.6551029034418	18.9844139353526
"SERGEF"	5.00103178127587	6.77717683604736	30.3498890874761	10.7611801868763	121.66918687395	13.3034330285304	128.043229331033	116.98831400463	19.4351871410745	83.49074260011	64.1570201117109	26.7226369102316	65.3470442566611	13.5985238526719	13.4188876326831	27.8037923532785	45.7620693116655	5.61069047289962	8.94671744561932	17.2240865492611	57.0262807179567	45.7153957380717	139.862588018784	11.5881808823127	8.78740356441553
