"","logFC","logCPM","LR","PValue","FDR"
"QARS",0.022230322833779,7.05022267109171,0.0515376116280066,0.820408993221636,0.999802087555117
"UNG",0.0294775086012844,5.0086197201314,0.0514859485698906,0.820497494851734,0.999802087555117
"FAM111A",0.0257635929285973,5.68405282296992,0.051429548487949,0.820594164584805,0.999802087555117
"MRPL37",-0.0257475671621441,5.36957729196434,0.051421658070959,0.82060769320162,0.999802087555117
"SDCCAG3",-0.0237770138011744,4.72144792606845,0.0514165286924397,0.820616488429433,0.999802087555117
"MAP3K7",0.0228368667252101,4.81413183271823,0.0513628012389686,0.820708641396063,0.999802087555117
"G3BP1",0.0250141055073749,6.01282374521459,0.0513561977384853,0.820719971171841,0.999802087555117
"RMND1",-0.0293298679557202,4.42874825691953,0.0513537637067838,0.82072414748848,0.999802087555117
"MDK",-0.0390383403226792,4.40539415409128,0.0513314627518824,0.820762416358279,0.999802087555117
"ARHGAP28",-0.0376194521452818,3.85943646793059,0.0513095661187819,0.820799999908419,0.999802087555117
"C6orf203",0.0255736918066514,3.42534594081365,0.051296988604836,0.820821591862813,0.999802087555117
"HNRNPA1L2",-0.0259599718835966,5.00484253337917,0.0512849404908877,0.820842277600273,0.999802087555117
"PCNX1",0.0293053755632425,6.57102803908998,0.0512677069983223,0.820871870697151,0.999802087555117
"CLK4",-0.0251959257372227,5.38359577173348,0.051160052533362,0.821056851808059,0.999802087555117
"DSCR3",0.021938996761421,5.52990021699071,0.0511294690224893,0.821109440321042,0.999802087555117
"SNORA8",-0.0442506362774517,1.15315530829814,0.0511249700669403,0.821117177694261,0.999802087555117
"HPSE2",0.070656825571171,2.03173126728576,0.051080134100733,0.821194306842767,0.999802087555117
"DAB2IP",0.0319826948445165,6.60369214672393,0.0510731718313213,0.821206286889752,0.999802087555117
"DHPS",-0.0227556681520968,4.9456910124103,0.0509787799340566,0.821368792747268,0.999802087555117
"SPP1",0.131732870473215,4.47437944494639,0.0509042634090946,0.82149719271713,0.999802087555117
"KCNH1",0.0655728432325392,-0.287352592771395,0.0508925204343527,0.821517436129275,0.999802087555117
"ZNF521",-0.02533802824219,5.40220565844537,0.0508743829411173,0.821548707710954,0.999802087555117
"PMF1",-0.0230978543391597,4.79238702941691,0.0508579905702744,0.82157697549696,0.999802087555117
"BRAT1",-0.0243352014178184,5.77349197068971,0.0508470555836542,0.821595834971338,0.999802087555117
"RAB3D",0.0258591815273825,4.56988825815542,0.0508201991245025,0.821642163114138,0.999802087555117
"FLVCR1",-0.0327967139335879,1.73727076431188,0.0508077964866391,0.821663562353086,0.999802087555117
