"","gene","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y"
"1989","CCDC81",708,754,504,188,371,373,774,479,123,150,175,395,301,964,243,139,777,733,331,202,383,1363,780,462,536,1028,824,321,666,186
"5003","GLI2",195,654,1053,62,137,55,303,1133,462,725,599,262,863,980,701,514,496,639,288,1186,1055,136,286,386,530,573,242,17,241,617
"10956","RHCG",307,131,462,83,122,636,66,16,1126,510,181,677,142,1308,456,1551,445,219,44,60,368,566,1165,43,550,40,2016,2130,5,135
"2929","CSGALNACT1",534,211,260,1149,787,501,582,534,244,1032,756,988,107,403,216,1500,110,324,336,658,711,39,483,22,155,303,963,934,583,147
"3580","DRP2",168,207,53,196,15,445,357,14,2034,1134,131,5,3,1740,1099,1234,608,1314,25,7,201,924,1196,3,1705,401,8,239,4,138
"13842","TRIM29",973,172,81,726,56,115,805,4,38,714,81,1076,5,312,108,934,764,3724,33,52,34,597,816,10,337,820,571,1376,257,159
"12317","SNN",265,146,241,169,218,126,1212,577,253,527,143,1477,871,212,298,138,813,1248,145,251,167,143,1053,920,286,1103,754,694,1204,103
"2200","CDH2",268,643,328,211,315,200,922,397,478,1065,441,689,1540,925,1017,246,550,675,221,98,395,424,608,630,801,714,147,432,631,209
"5277","GS1-124K5.4",337,1070,1263,863,454,906,721,460,723,197,603,455,408,1112,771,458,353,193,402,295,440,283,1191,72,299,756,432,115,345,253
"8905","NRIP2",883,409,33,60,759,118,80,711,119,151,146,277,1466,39,26,64,30,233,625,457,3349,204,54,2028,138,102,66,267,219,3266
"11896","SLAMF8",73,2126,181,350,516,3516,158,218,95,166,1198,23,115,294,437,36,213,266,1312,107,772,607,331,452,366,30,275,45,72,2358
"14184","UBE2QL1",135,122,6,388,109,66,649,420,149,969,100,2612,854,519,61,1495,107,320,91,18,1566,468,342,797,182,587,1341,279,1925,36
"12973","TAGLN",3071,285,30,110,1122,144,204,17,472,64,98,648,646,11,62,91,119,805,357,381,176,225,39,868,76,255,1320,2140,119,2806
"6819","LINC00924",881,17,187,11,21,3,731,117,189,734,24,1018,393,253,205,361,503,3556,14,50,267,349,153,673,244,4371,85,651,686,52
